age,survivors_lx,deaths_dx,mortality_rate_qx,central_death_rate_mx,survival_probability_px,person_years_lived_Lx,total_future_years_Tx,life_expectancy_ex,std_error_life_expectancy,sex
38,98555,68,0.00069,0.0001,0.99931,98521,4659821,47.28,0.05,female
39,98487,73,0.00074,0.00011,0.99926,98451,4561300,46.31,0.05,female
40,98414,79,0.0008,0.00011,0.9992,98375,4462850,45.35,0.05,female
41,98335,86,0.00087,0.00012,0.99913,98292,4364475,44.38,0.05,female
42,98249,93,0.00095,0.00012,0.99905,98203,4266182,43.42,0.05,female
43,98156,101,0.00103,0.00013,0.99897,98106,4167980,42.46,0.05,female
44,98055,110,0.00112,0.00013,0.99888,98000,4069874,41.51,0.05,female
45,97945,119,0.00122,0.00014,0.99878,97886,3971874,40.55,0.05,female
46,97826,129,0.00132,0.00015,0.99868,97762,3873988,39.6,0.05,female
47,97697,140,0.00143,0.00015,0.99857,97627,3776226,38.65,0.05,female
48,97557,152,0.00155,0.00015,0.99845,97482,3678599,37.71,0.05,female
49,97406,164,0.00168,0.00016,0.99832,97324,3581117,36.76,0.05,female
50,97242,178,0.00183,0.00017,0.99817,97153,3483793,35.83,0.05,female
51,97064,192,0.00198,0.00018,0.99802,96968,3386641,34.89,0.05,female
52,96872,208,0.00215,0.00018,0.99785,96768,3289672,33.96,0.05,female
53,96664,226,0.00234,0.00019,0.99766,96551,3192905,33.03,0.05,female
54,96438,245,0.00254,0.00019,0.99746,96315,3096354,32.11,0.05,female
55,96193,266,0.00277,0.0002,0.99723,96060,3000039,31.19,0.05,female
56,95927,289,0.00302,0.0002,0.99698,95782,2903979,30.27,0.05,female
57,95637,315,0.00329,0.00021,0.99671,95480,2808197,29.36,0.05,female
58,95322,343,0.0036,0.00022,0.9964,95150,2712718,28.46,0.05,female
59,94979,374,0.00394,0.00023,0.99606,94792,2617567,27.56,0.05,female
60,94605,408,0.00431,0.00025,0.99569,94401,2522775,26.67,0.05,female
61,94197,445,0.00473,0.00026,0.99527,93975,2428374,25.78,0.05,female
62,93752,486,0.00519,0.00028,0.99481,93509,2334400,24.9,0.05,female
63,93266,531,0.0057,0.0003,0.9943,93000,2240891,24.03,0.05,female
64,92734,581,0.00627,0.00031,0.99373,92444,2147891,23.16,0.04,female
65,92153,636,0.0069,0.00033,0.9931,91835,2055447,22.3,0.04,female
66,91517,696,0.0076,0.00036,0.9924,91170,1963612,21.46,0.04,female
67,90822,762,0.00839,0.00039,0.99161,90441,1872442,20.62,0.04,female
68,90060,835,0.00927,0.00041,0.99073,89642,1782001,19.79,0.04,female
69,89225,914,0.01025,0.00044,0.98975,88768,1692359,18.97,0.04,female
70,88311,1002,0.01134,0.00047,0.98866,87810,1603591,18.16,0.04,female
71,87309,1098,0.01257,0.0005,0.98743,86760,1515782,17.36,0.04,female
72,86211,1202,0.01395,0.00052,0.98605,85610,1429021,16.58,0.04,female
73,85009,1317,0.01549,0.0006,0.98451,84351,1343411,15.8,0.04,female
74,83693,1441,0.01722,0.00066,0.98278,82972,1259060,15.04,0.04,female
75,82251,1576,0.01916,0.00071,0.98084,81463,1176088,14.3,0.04,female
76,80675,1723,0.02135,0.00077,0.97865,79814,1094625,13.57,0.04,female
77,78953,1880,0.02382,0.00085,0.97618,78012,1014811,12.85,0.04,female
78,77072,2050,0.02659,0.00092,0.97341,76047,936799,12.15,0.04,female
79,75023,2230,0.02973,0.00101,0.97027,73907,860752,11.47,0.04,female
80,72792,2421,0.03327,0.0011,0.96673,71582,786844,10.81,0.04,female
81,70371,2622,0.03727,0.0012,0.96273,69060,715263,10.16,0.04,female
